Python 3.4.3 (v3.4.3:9b73f1c3e601, Feb 24 2015, 22:43:06) [MSC v.1600 32 bit (Intel)] on win32
Type "copyright", "credits" or "license()" for more information.
("'AbCeSi", '.CVC.CV.CV')
("'abd", '.CVCC')
("'AbdAde", '.CVC.CV.CV')
("'abdAl", '.CVC.CVC')
("'abdAli", '.CVC.CV.CV')
("'AbdAn", '.CVC.CVC')
("'AbdAnak", '.CVC.CV.CVC')
("'abdAne", '.CVC.CV.CV')
("'Abdang", '.CVC.CVCC')
("'AbdAr", '.CVC.CVC')
("'AbdArak", '.CVC.CV.CVC')
("'AbdArCi", '.CVC.CVC.CV')
("'AbdAri", '.CVC.CV.CV')
("'AbdarmAni", '.CVC.CVC.CV.CV')
("'Abdarre", '.CVC.CVC.CV')
("'AbdArxAne", '.CVC.CVC.CV.CV')
("'AbdArxAnedAr", '.CVC.CVC.CV.CV.CVC')
("'Abdeh", '.CVC.CVC')
("'Abdehi", '.CVC.CV.CV')
("'abdemanAf", '.CVC.CV.CV.CVC')
("'abdexodA'i", '.CVC.CV.CV.CV.CV')
("'abdi", '.CVC.CV')
("'Abdide", '.CVC.CV.CV')
("'Abdidegi", '.CVC.CV.CV.CV')
("'abdineZAd", '.CVC.CV.CV.CVC')
("'abdipur", '.CVC.CV.CVC')
("'abdo", '.CVC.CV')
("'abdo'abid", '.CVC.CV.CV.CVC')
("'abdoh", '.CVC.CVC')
("'abdol", '.CVC.CVC')
("'abdolAbAd", '.CVC.CV.CV.CVC')
("'abdol'ahad", '.CVC.CVC.CV.CVC')
("'abdol'ali", '.CVC.CVC.CV.CV')
("'abdol'alizAde", '.CVC.CVC.CV.CV.CV.CV')
("'abdol'azim", '.CVC.CVC.CV.CVC')
("'abdolbAqi", '.CVC.CVC.CV.CV')
("'abdolbAset", '.CVC.CVC.CV.CVC')
("'abdolbaSir", '.CVC.CVC.CV.CVC')
("'abdolfattAh", '.CVC.CVC.CVC.CVC')
("'abdolhAdi", '.CVC.CVC.CV.CV')
("'abdolhakim", '.CVC.CVC.CV.CVC')
("'abdolhalim", '.CVC.CVC.CV.CVC')
("'abdolhamid", '.CVC.CVC.CV.CVC')
("'abdolhasan", '.CVC.CVC.CV.CVC')
("'abdolhoseyn", '.CVC.CVC.CV.CVCC')
("'abdolhoseyni", '.CVC.CVC.CV.CVC.CV')
("'abdoli", '.CVC.CV.CV')
("'abdoljabbAr", '.CVC.CVC.CVC.CVC')
("'abdoljalil", '.CVC.CVC.CV.CVC')
("'abdoljavAd", '.CVC.CVC.CV.CVC')
("'abdolkabir", '.CVC.CVC.CV.CVC')
("'abdolkarim", '.CVC.CVC.CV.CVC')
("'abdollAh", '.CVC.CVC.CVC')
("'abdollAhebne'abbAs", '.CVC.CVC.CV.CVC.CV.CVC.CVC')
("'abdollAhebne'Amer", '.CVC.CVC.CV.CVC.CV.CV.CVC')
("'abdollAhebneja'far", '.CVC.CVC.CV.CVC.CV.CVC.CVC')
("'abdollAhebnemas'ud", '.CVC.CVC.CV.CVC.CV.CVC.CVC')
("'abdollAhebne'obay", '.CVC.CVC.CV.CVC.CV.CV.CVC')
("'abdollAhebne'omar", '.CVC.CVC.CV.CVC.CV.CV.CVC')
("'abdollAhebnesalAm", '.CVC.CVC.CV.CVC.CV.CV.CVC')
("'abdollAhebnetAher", '.CVC.CVC.CV.CVC.CV.CV.CVC')
("'abdollAhebnezobayr", '.CVC.CVC.CV.CVC.CV.CV.CVCC')
("'abdollAhi", '.CVC.CVC.CV.CV')
("'abdollAhipur", '.CVC.CVC.CV.CV.CVC')
("'abdollAhiyAn", '.CVC.CVC.CV.CV.CVC')
("'abdollAhxAn", '.CVC.CVC.CVC.CVC')
("'abdollAhzAde", '.CVC.CVC.CVC.CV.CV')
("'abdolma'bud", '.CVC.CVC.CVC.CVC')
("'abdolmahmud", '.CVC.CVC.CVC.CVC')
("'abdolmajid", '.CVC.CVC.CV.CVC')
("'abdolmAlek", '.CVC.CVC.CV.CVC')
("'abdolmalek", '.CVC.CVC.CV.CVC')
("'abdolmalekebnemarvAn", '.CVC.CVC.CV.CV.CVC.CV.CVC.CVC')
("'abdolmaleki", '.CVC.CVC.CV.CV.CV')
("'abdolmalekiyAn", '.CVC.CVC.CV.CV.CV.CVC')
("'abdolmohammad", '.CVC.CVC.CV.CVC.CVC')
("'abdolmohammadi", '.CVC.CVC.CV.CVC.CV.CV')
